tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,box,conferido,local
MON004,Projetor BenQ,tv e monitor,MW632ST,BENQMW001,BenQ,4500.0,2024-02-28 00:00:00.000000,BenQ Brasil,PO-MON-004,NF-002004,Apresentações,3,Prateleira E,Rua E2,AV Zone Echo,Caixa E2,True,
MON005,Apple TV 4K,tv e monitor,MXGY2LL/A,APPLETV001,Apple,800.0,2024-03-15 00:00:00.000000,Apple Brasil,PO-MON-005,NF-002005,Streaming/AirPlay,6,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D3,False,
AUD001,Headset Plantronics,audio e video,Voyager 4220,PLT4220001,Plantronics,1200.0,2024-01-18 00:00:00.000000,Plantronics,PO-AUD-001,NF-003001,Call Center,30,Prateleira F,Rua F1,Audio Zone Foxtrot,Caixa F1,True,
AUD002,Caixa de Som JBL,audio e video,Charge 5,JBLCH5001,JBL,600.0,2024-02-22 00:00:00.000000,JBL Brasil,PO-AUD-002,NF-003002,Eventos/Reuniões,8,Prateleira F,Rua F2,Audio Zone Foxtrot,Caixa F2,True,
AUD003,Microfone Blue Yeti,audio e video,Blue Yeti Nano,BLUYETI001,Blue Microphones,400.0,2024-03-08 00:00:00.000000,Blue Microphones,PO-AUD-003,NF-003003,Podcast/Gravação,4,Prateleira G,Rua G1,Studio Zone Golf,Caixa G1,False,
AUD004,Webcam Logitech C920,audio e video,C920 HD Pro,LGTC920001,Logitech,350.0,2024-02-12 00:00:00.000000,Logitech,PO-AUD-004,NF-003004,Videoconferência,18,Prateleira F,Rua F1,Audio Zone Foxtrot,Caixa F3,True,
AUD005,Adaptador USB-C Hub,audio e video,PowerExpand 11-in-1,ANKPOW001,Anker,300.0,2024-01-28 00:00:00.000000,Anker Brasil,PO-AUD-005,NF-003005,Conectividade Hub,15,Prateleira C,Rua C2,TechStop Gamma,Caixa C3,True,
LIX001,Impressora HP Antiga,lixo eletrônico,LaserJet 1320,HPLJ1320001,HP,50.0,2023-01-10 00:00:00.000000,HP Brasil,PO-LIX-001,NF-LIX001,Descarte Programado,5,Prateleira H,Rua H1,Lixo Zone Hotel,Caixa H1,False,
LIX002,Monitor CRT Dell,lixo eletrônico,UltraSharp 1901FP,DELL1901001,Dell,100.0,2022-05-15 00:00:00.000000,Dell Brasil,PO-LIX-002,NF-LIX002,Descarte Programado,3,Prateleira H,Rua H1,Lixo Zone Hotel,Caixa H2,False,
LIX003,CPU Pentium 4,lixo eletrônico,OptiPlex GX280,DELLGX001,Dell,80.0,2021-03-20 00:00:00.000000,Dell Brasil,PO-LIX-003,NF-LIX003,Descarte Programado,8,Prateleira I,Rua I1,Lixo Zone India,Caixa I1,True,
LIX004,Teclado PS/2 Antigo,lixo eletrônico,QuietKey KB212-B,DELLKB001,Dell,30.0,2020-08-10 00:00:00.000000,Dell Brasil,PO-LIX-004,NF-LIX004,Descarte Programado,12,Prateleira I,Rua I2,Lixo Zone India,Caixa I2,False,
OUT003,Suporte Monitor Ajustável,outros,Herman Miller Ollin,HMOLLIN001,Herman Miller,900.0,2024-03-12 00:00:00.000000,Herman Miller,PO-OUT-003,NF-OUT003,Ergonomia,15,Prateleira K,Rua K1,Ergonomia Zone Kilo,Caixa K1,True,
OUT004,Mousepad Gamer RGB,outros,Corsair MM800 RGB,CORMM800001,Corsair,120.0,2024-02-18 00:00:00.000000,Corsair Gaming,PO-OUT-004,NF-OUT004,Gaming/Produtividade,25,Prateleira C,Rua C2,TechStop Gamma,Caixa C4,True,
OUT005,Filtro de Linha,outros,Fortrek 8 Tomadas,FORT8TOM001,Fortrek,200.0,2024-01-22 00:00:00.000000,Fortrek,PO-OUT-005,NF-OUT005,Proteção Elétrica,30,Prateleira J,Rua J2,Outros Zone Juliet,Caixa J3,False,
TEC000,teste5,tv e monitor,,AUTO0028,1111,0.01,2025-08-21 00:00:00.000000,,PO-AUTO-028,NF-AUTO000028,Geral,1,Prateleira A,Rua A2,AV Zone Echo,,False,Spark
tag000,1,audio e video,1,AUTO0029,e,1111.0,2025-08-21 00:00:00.000000,1,11111,1111111,Geral,1,Prateleira A,Rua A1,Monitor Zone Delta,1,False,hq1
TEC020,teste5,tv e monitor,377503,llll,Dell,100000.0,2025-08-21 00:00:00.000000,NF-001234,11111,11111,llll,1,Prateleira B,Rua A2,AV Zone Echo,Desenvolvimento,False,Spark
IMP2508210030000,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030001,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030002,MODELO,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030003,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030004,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030005,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030006,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030007,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030008,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030009,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030010,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030011,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030012,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030013,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030014,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030015,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030016,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030017,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030018,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030019,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030020,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030021,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030022,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030023,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030024,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030025,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030026,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030027,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030028,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030029,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030030,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030031,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030032,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030033,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030034,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030035,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030036,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030037,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030038,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030039,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030040,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030041,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030042,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030043,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030044,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030045,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030046,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030047,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030048,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030049,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030050,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030051,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030052,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030053,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030054,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030055,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030056,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030057,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030058,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030059,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030060,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030061,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030062,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030063,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030064,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030065,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030066,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030067,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030068,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030069,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030070,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030071,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030072,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030073,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030074,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030075,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030076,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030077,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030078,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030079,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030080,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030081,P2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030082,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030083,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030084,Item Importado,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030085,80 monitores,tv e monitor,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030086,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030087,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030088,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030089,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030090,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030091,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030092,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030093,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030094,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030095,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030096,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030097,p2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
IMP2508210030098,up2719h,outros,,AUTO0247,,0.0,2025-08-21 00:30:23.247842,,PO-IMP-20250821,NF-IMP2508210030,Geral,1,A Definir,A Definir,Geral,,False,HQ1 - 8º Andar
