id_movimentacao,tipo_movimentacao,data_movimentacao,sku,quantidade,valor_unitario,valor_total,motivo,usuario,local_origem,local_destino,numero_nf,observacoes,status
MOV019,Entrada,2023-01-11,SKU019,5,50.00,250.00,Compra NF-LIX001,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - Subsolo,NF-LIX001,Descarte de impressoras antigas,Confirmada
MOV020,Entrada,2022-05-16,SKU020,3,100.00,300.00,Compra NF-LIX002,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - Subsolo,NF-LIX002,Descarte de monitores CRT,Confirmada
MOV021,Entrada,2021-03-21,SKU021,8,80.00,640.00,Compra NF-LIX003,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - Subsolo,NF-LIX003,Descarte de CPUs antigas,Confirmada
MOV022,Entrada,2020-08-11,SKU022,12,30.00,360.00,Compra NF-LIX004,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - Subsolo,NF-LIX004,Descarte de teclados antigos,Confirmada
MOV023,Entrada,2024-02-06,SKU023,50,80.00,4000.00,Compra NF-OUT001,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 3º Andar,NF-OUT001,Recebimento de cabos HDMI,Confirmada
MOV024,Entrada,2024-01-13,SKU024,20,150.00,3000.00,Compra NF-OUT002,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 3º Andar,NF-OUT002,Recebimento de hubs USB,Confirmada
MOV025,Entrada,2024-03-13,SKU025,15,900.00,13500.00,Compra NF-OUT003,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 2º Andar,NF-OUT003,Recebimento de suportes Herman Miller,Confirmada
MOV026,Entrada,2024-02-19,SKU026,25,120.00,3000.00,Compra NF-OUT004,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 7º Andar,NF-OUT004,Recebimento de mousepads Corsair,Confirmada
MOV027,Entrada,2024-01-23,SKU027,30,200.00,6000.00,Compra NF-OUT005,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 3º Andar,NF-OUT005,Recebimento de filtros de linha,Confirmada
MOV028,Saída,2024-01-20,SKU001,2,3500.00,7000.00,Atendimento TI,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,TI - Desenvolvimento,,Entrega para desenvolvedores,Confirmada
MOV029,Saída,2024-01-25,SKU002,1,2800.00,2800.00,Atendimento TI,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,TI - Suporte,,Entrega para suporte técnico,Confirmada
MOV030,Saída,2024-02-15,SKU003,1,8500.00,8500.00,Atendimento Design,danilo.fukuyama.digisystem@nubank.com.br,Spark - 2º Andar,Design - Criativo,,Entrega para designer,Confirmada
MOV031,Saída,2024-02-28,SKU004,1,12000.00,12000.00,Atendimento Engenharia,danilo.fukuyama.digisystem@nubank.com.br,Spark - 2º Andar,Engenharia - 3D,,Entrega para engenheiro 3D,Confirmada
MOV032,Saída,2024-03-05,SKU005,1,4200.00,4200.00,Atendimento Design,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,Design - Mobile,,Entrega para designer mobile,Confirmada
MOV033,Saída,2024-02-22,SKU006,3,450.00,1350.00,Atendimento Geral,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 7º Andar,Departamentos,,Entrega para departamentos,Confirmada
MOV034,Saída,2024-03-12,SKU007,1,850.00,850.00,Atendimento Gaming,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 7º Andar,Gaming - Desenvolvimento,,Entrega para desenvolvedor gaming,Confirmada
MOV035,Saída,2024-01-30,SKU008,2,800.00,1600.00,Atendimento Backup,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,TI - Backup,,Entrega para backup de dados,Confirmada
MOV036,Saída,2024-01-27,SKU009,2,2200.00,4400.00,Atendimento Design,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 6º Andar,Design - Video,,Entrega para editor de vídeo,Confirmada
MOV037,Saída,2024-02-17,SKU010,1,3500.00,3500.00,Atendimento Reuniões,danilo.fukuyama.digisystem@nubank.com.br,Spark - 1º Andar,Sala de Reunião,,Instalação em sala de reunião,Confirmada
MOV038,Saída,2024-03-07,SKU011,3,1800.00,5400.00,Atendimento Escritório,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 6º Andar,Escritório Geral,,Entrega para escritório geral,Confirmada
MOV039,Saída,2024-03-01,SKU012,1,4500.00,4500.00,Atendimento Apresentações,danilo.fukuyama.digisystem@nubank.com.br,Spark - 1º Andar,Sala de Apresentações,,Instalação em sala de apresentações,Confirmada
MOV040,Saída,2024-03-17,SKU013,1,800.00,800.00,Atendimento Streaming,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 6º Andar,Sala de Streaming,,Instalação em sala de streaming,Confirmada
MOV041,Saída,2024-01-22,SKU014,5,1200.00,6000.00,Atendimento Call Center,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 5º Andar,Call Center,,Entrega para call center,Confirmada
MOV042,Saída,2024-02-25,SKU015,2,600.00,1200.00,Atendimento Eventos,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 5º Andar,Eventos,,Entrega para eventos,Confirmada
MOV043,Saída,2024-03-10,SKU016,1,400.00,400.00,Atendimento Podcast,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 4º Andar,Podcast Studio,,Entrega para estúdio de podcast,Confirmada
MOV044,Saída,2024-02-14,SKU017,3,350.00,1050.00,Atendimento Videoconferência,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 5º Andar,Videoconferência,,Entrega para videoconferência,Confirmada
MOV045,Saída,2024-01-30,SKU018,2,300.00,600.00,Atendimento Conectividade,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 7º Andar,TI - Conectividade,,Entrega para conectividade,Confirmada
MOV046,Saída,2024-02-07,SKU023,10,80.00,800.00,Atendimento Conectividade,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 3º Andar,TI - Conectividade,,Entrega de cabos HDMI,Confirmada
MOV047,Saída,2024-01-15,SKU024,3,150.00,450.00,Atendimento TI,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 3º Andar,TI - Expansão,,Entrega de hubs USB,Confirmada
MOV048,Saída,2024-03-14,SKU025,2,900.00,1800.00,Atendimento Ergonomia,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 2º Andar,Ergonomia,,Entrega de suportes ergonômicos,Confirmada
MOV049,Saída,2024-02-20,SKU026,5,120.00,600.00,Atendimento Gaming,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 7º Andar,Gaming,,Entrega de mousepads gaming,Confirmada
MOV050,Saída,2024-01-25,SKU027,5,200.00,1000.00,Atendimento Proteção,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 3º Andar,TI - Proteção,,Entrega de filtros de linha,Confirmada
MOV051,Transferência,2024-01-18,SKU001,1,3500.00,3500.00,Reorganização Estoque,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,HQ1 - 7º Andar,,Transferência para prateleira C,Confirmada
MOV052,Transferência,2024-02-12,SKU002,1,2800.00,2800.00,Reorganização Estoque,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,HQ1 - 7º Andar,,Transferência para prateleira C,Confirmada
MOV053,Transferência,2024-03-08,SKU008,1,800.00,800.00,Reorganização Estoque,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 8º Andar,HQ1 - 7º Andar,,Transferência para prateleira C,Confirmada
MOV054,Transferência,2024-01-24,SKU009,1,2200.00,2200.00,Reorganização Estoque,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 6º Andar,HQ1 - 7º Andar,,Transferência para prateleira C,Confirmada
MOV055,Transferência,2024-02-16,SKU011,1,1800.00,1800.00,Reorganização Estoque,danilo.fukuyama.digisystem@nubank.com.br,HQ1 - 6º Andar,HQ1 - 7º Andar,,Transferência para prateleira C,Confirmada
